Date,Close,High,Low,Open,Volume
2001-02-22,28.9923095703125,29.37887541786876,28.784479820968347,28.909179655134945,1647106
2001-02-23,29.033878326416016,29.13779320876422,28.597437143593723,29.09622990190527,1784990
2001-02-26,29.125316619873047,29.24585878082161,28.406224614517335,28.86760830223101,1821287
2001-02-27,29.51188087463379,29.60748042181177,29.03386990834604,29.28326621519194,1481894
2001-02-28,29.71971321105957,29.811158421414834,29.225078206083328,29.511883488215762,2132518
2001-03-01,29.100370407104492,29.53681468994245,28.555856947193323,29.532657038193882,1849552
2001-03-02,29.703081130981445,29.865189876381134,29.20844620554029,29.287421752130005,3954534
2001-03-05,29.81948471069336,29.923399621916875,29.520209634065576,29.923399621916875,2094657
2001-03-06,29.220924377441406,29.470320739013317,29.025564280096766,29.428754127484638,1340777
2001-03-07,29.521387100219727,29.73839642140545,29.22091546543052,29.22091546543052,2032911
2001-03-08,29.959577560424805,30.126505513253104,29.471309894555542,29.62989261203147,2570578
2001-03-09,29.6924991607666,29.85942716408807,29.12493996448138,29.62990157462441,1660665
2001-03-12,29.433767318725586,29.801011006631573,29.412899237787318,29.62990868291048,1524136
2001-03-13,28.874544143676758,29.504700879064625,28.615805259718627,29.43375806034145,2257991
2001-03-14,28.47809600830078,29.028961536114334,28.27360940573887,28.457231248343387,1925587
2001-03-15,28.29446029663086,28.67005235838139,27.90635204170304,28.58658671780883,1352875
2001-03-16,28.21100425720215,28.478088389005674,27.751948113097235,27.751948113097235,1973773
2001-03-19,28.002336502075195,28.357060484475653,27.943909890957652,28.21516823485474,1424217
2001-03-20,28.962181091308594,29.212574712186598,28.014858946416545,28.25273305229196,2590395
2001-03-21,27.964780807495117,28.962184448851286,27.793680195819945,28.962184448851286,4127255
2001-03-22,27.831241607666016,27.889666577264677,26.716991245355064,27.585022211529758,3603774
2001-03-23,28.006532669067383,28.211022671221368,27.42645525763384,28.1692898144045,3243000
2001-03-26,27.793699264526367,28.181809522113728,27.60590306804713,28.106692371853605,2564007
2001-03-27,27.814559936523438,28.019046576853636,27.534952840651236,27.856291124559707,3055260
2001-03-28,28.66170883178711,28.77855875659956,27.605883569052764,27.8103717676812,2757171
2001-03-29,27.793699264526367,28.169289997070372,27.25117876404687,28.09834380793875,3377025
2001-03-30,28.30699348449707,28.377939645337314,27.668491320245263,28.002350722982296,1844963
2001-04-02,27.935565948486328,28.66587869630399,27.731076120935658,28.377926547212656,1758081
2001-04-03,27.48068618774414,27.935569682368897,27.292891788144367,27.935569682368897,1556469
2001-04-04,27.898019790649414,27.898019790649414,27.04250653907411,27.54329397394074,2657251
2001-04-05,27.95643424987793,28.544858137078535,27.543285245168587,28.544858137078535,1590054
2001-04-06,27.751956939697266,27.818728824091846,26.950697647790108,27.647626492985946,1425885
2001-04-09,28.16092300415039,28.290292436624046,27.772811385903065,27.793677798330826,1744313
2001-04-10,27.710224151611328,28.152584954368805,27.334633568965575,27.802035072230478,2048765
2001-04-11,27.209430694580078,27.73108278262058,26.896437781342343,27.73108278262058,1930593
2001-04-12,27.347150802612305,27.622583541441788,27.1301430392545,27.397228878612697,1393448
2001-04-16,27.292896270751953,27.87714763930315,26.942344785455823,27.292896270751953,1405130
2001-04-17,26.666912078857422,27.355493871299416,26.291321557412644,27.125966607152087,2792945
2001-04-18,26.186983108520508,26.9590303316254,25.773834159668365,26.917297510783076,4018470
2001-04-19,26.504154205322266,26.533367518214735,25.686201369293595,25.686201369293595,2538871
2001-04-20,26.40816879272461,26.833837315809365,26.22871963027767,26.608482708123745,2458768
2001-04-23,26.199512481689453,26.495811636177468,26.111875849520725,26.458253079533726,1353918
2001-04-24,23.6246280670166,24.204706744242475,23.51195075859594,23.578722619912874,11687545
2001-04-25,24.204710006713867,24.288174014403207,23.895891351808412,23.975182740258028,5332546
2001-04-26,24.455095291137695,24.55525140180105,24.250607131178384,24.371629651700932,4129237
2001-04-27,24.788955688476562,24.830688512943883,24.538562062498965,24.622026051020445,2319111
2001-04-30,24.788955688476562,25.005963386962932,24.580294886966286,24.642892463254103,2805566
2001-05-01,24.559429168701172,24.843208730188667,24.438404970574098,24.768089976107515,3228085
2001-05-02,24.204710006713867,24.475968446807606,24.079513164973086,24.288174014403207,2855630
2001-05-03,24.204710006713867,24.296520913296202,23.866678035889695,23.9960474968702,2362291
2001-05-04,24.204710006713867,24.30069353253593,23.979355359497752,24.162977172662426,1719490
2001-05-07,24.546913146972656,24.58447169915252,24.208881196113534,24.28817257987999,1516313
2001-05-08,24.250621795654297,24.63873194040593,24.238102274250757,24.601171715781334,1870933
2001-05-09,24.342418670654297,24.546906836195106,24.26729992519344,24.26729992519344,1568776
2001-05-10,24.751399993896484,24.83069137327032,24.40919378258833,24.80982495863299,2515925
