year,Gross Profit,Total Revenue,Business Revenue,Cost of Revenue,Cost of Goods and Services,Operating Income/Expenses,"Selling, General and Administrative Expenses","Other Income/Expense, Operating",Total Operating Profit/Loss,"Non-Operating Income/Expense, Total",Total Net Finance Income/Expense,Net Interest Income/Expense,Interest Expense Net of Capitalized Interest,Interest Income,Irregular Income/Expense,Impairment/Write Off/Write Down of Capital Assets,"Other Income/Expense, Non-Operating",Pretax Income,Provision for Income Tax,Earnings from Equity Interest,Net Income before Extraordinary Items and Discontinued Operations,Net Income after Extraordinary Items and Discontinued Operations,Non-Controlling/Minority Interests,Net Income after Non-Controlling/Minority Interests,Net Income Available to Common Stockholders,Diluted Net Income Available to Common Stockholders,"Total Revenue as Reported, Supplemental",Reported Total Operating Profit/Loss,Reported Effective Tax Rate,Reported Normalized Operating Profit,Reported Normalized Income,Basic EPS,Diluted EPS,Basic WASO,Diluted WASO
2020.0,6822000000.0,19140000000.0,19140000000.0,-12318000000.0,-12318000000.0,-3578000000.0,-3632000000.0,54000000.0,3244000000.0,-314000000.0,-244000000.0,-244000000.0,-252000000.0,8000000.0,,,-70000000.0,2930000000.0,-676000000.0,142000000.0,2396000000.0,2396000000.0,-44000000.0,2352000000.0,2352000000.0,2352000000.0,19140000000.0,3244000000.0,0.231,3582000000.0,2651000000.0,6.9,6.87,340700000.0,342500000.0
2021.0,5988000000.0,19440000000.0,19440000000.0,-13452000000.0,-13452000000.0,-3427000000.0,-3399000000.0,-28000000.0,2561000000.0,-336000000.0,-250000000.0,-250000000.0,-256000000.0,6000000.0,,,-86000000.0,2225000000.0,-479000000.0,98000000.0,1844000000.0,1844000000.0,-30000000.0,1814000000.0,1814000000.0,1814000000.0,19440000000.0,2561000000.0,0.215,2836000000.0,2095000000.0,5.38,5.35,337300000.0,338800000.0
2022.0,6219000000.0,20175000000.0,20175000000.0,-13956000000.0,-13956000000.0,-3538000000.0,-3581000000.0,43000000.0,2681000000.0,-341000000.0,-268000000.0,-268000000.0,-282000000.0,14000000.0,,,-73000000.0,2340000000.0,-495000000.0,116000000.0,1961000000.0,1961000000.0,-27000000.0,1934000000.0,1934000000.0,1934000000.0,20175000000.0,2681000000.0,0.212,2617000000.0,1905000000.0,5.73,5.72,337400000.0,338300000.0
2023.0,7032000000.0,20431000000.0,20431000000.0,-13399000000.0,-13399000000.0,-4030000000.0,-3961000000.0,-69000000.0,3002000000.0,-981000000.0,-227000000.0,-227000000.0,-293000000.0,66000000.0,-658000000.0,-658000000.0,-96000000.0,2021000000.0,-453000000.0,196000000.0,1764000000.0,1764000000.0,0.0,1764000000.0,1764000000.0,1764000000.0,20431000000.0,2344000000.0,0.224,2958000000.0,2227000000.0,5.22,5.21,337800000.0,338800000.0
2024.0,7180000000.0,20058000000.0,20058000000.0,-12878000000.0,-12878000000.0,-3873000000.0,-4311000000.0,438000000.0,3307000000.0,-380000000.0,-222000000.0,-222000000.0,-270000000.0,48000000.0,-97000000.0,-97000000.0,-61000000.0,2927000000.0,-565000000.0,216000000.0,2578000000.0,2578000000.0,-33000000.0,2545000000.0,2545000000.0,2545000000.0,20058000000.0,3210000000.0,0.193,3237000000.0,2395066131.0291576,7.58,7.55,335600000.0,337000000.0
