Year,Total Assets,Total Current Assets,"Cash, Cash Equivalents and Short Term Investments",Cash and Cash Equivalents,Inventories,"Raw Materials, Consumables and Supplies",Work-in-Process,Finished Goods and Merchandise,Inventory Allowance/Adjustments,"Trade and Other Receivables, Current","Trade/Accounts Receivable, Current","Other Receivables, Current","General Allowance for Receivables and Write Offs, Current",Other Current Assets,Total Non-Current Assets,"Net Property, Plant and Equipment","Gross Property, Plant and Equipment",Properties,Land and Improvements,Buildings and Improvements,"Machinery, Furniture and Equipment",Plant and Machinery,Construction in Progress and Advance Payments,Accumulated Depreciation and Impairment,Accumulated Depreciation,Net Intangible Assets,Gross Goodwill and Other Intangible Assets,Goodwill,Intangibles other than Goodwill,Trademarks and Patents,Other Intangible Assets,Accumulated Amortization and Impairment,Accumulated Amortization of Intangible Assets,Accumulated Amortization of Intangibles other than Goodwill,Accumulated Amortization of Trademarks and Patents,Accumulated Amortization of Other Intangible Assets,Total Long Term Investments,Long Term Equity Investments,Other Non-Current Assets,Total Liabilities,Total Current Liabilities,"Payables and Accrued Expenses, Current","Trade and Other Payables, Current","Trade/Accounts Payable, Current","Dividends Payable, Current","Interest Payable, Current","Taxes Payable, Current","Accrued Expenses, Current","Financial Liabilities, Current",Current Debt and Capital Lease Obligation,Current Debt,Current Portion of Long Term Debt and Capital Lease,Current Portion of Long Term Debt,"Capital Lease Obligations, Current","Derivative and Hedging Liabilities, Current",Other Current Liabilities,Total Non-Current Liabilities,"Financial Liabilities, Non-Current",Long Term Debt and Capital Lease Obligation,Long Term Debt,"Provisions, Non-Current","Provision for Employee Entitlements, Non-Current","Tax Liabilities, Non-Current","Deferred Tax Liabilities, Non-Current",Other Non-Current Liabilities,Preferred Securities Outside Stock Equity,Total Equity,Equity Attributable to Parent Stockholders,Paid in Capital,Capital Stock,Common Stock,Preferred Stock,Additional Paid in Capital/Share Premium,Treasury Stock,Treasury Stock for Common Stock,Retained Earnings/Accumulated Deficit,Reserves/Accumulated Comprehensive Income/Losses,Other Reserves/Accum.Comp.Inc,Non-Controlling/Minority Interests in Equity,Debt Maturity Schedule Total,Debt due in Year 1,Debt due in Year 2,Debt due in Year 3,Debt due in Year 4,Debt due in Year 5,Debt due Beyond,Debt - Interests Charges and Other Adjustments,Operating Lease Obligation Maturity Schedule Total,Operating Lease due in Year 1,Operating Lease due in Year 2,Operating Lease due in Year 3,Operating Lease due in Year 4,Operating Lease due Beyond,Operating Lease - Interests Charges and Other Adjustments,Operating Lease - Interests Charges and Other Adjustments,Other Contractual Obligations Maturity Schedule Total,Other Contractual Obligations due in Year 1,Other Contractual Obligations due in Year 2,Other Contractual Obligations due in Year 3,Other Contractual Obligations due in Year 4,Other Contractual Obligations due in Year 5,Other Contractual Obligations due Beyond,Total Lease Liability,Total Lease Liability - Due in year 1,Total Lease Liability - Due in year 2,Total Lease Liability - Due in year 3,Total Lease Liability - Due in year 4,Total Lease Liability - Due in year 5,Total Lease Liability - Beyond,Total Lease Liability - Interest Charges and Other Adjustments,Total Contractual Obligations,Total Contractual Obligations due in year 1,Total Contractual Obligations due in year 2,Total Contractual Obligations due in year 3,Total Contractual Obligations due in year 4,Total Contractual Obligations due in year 5,Total Contractual Obligations due Beyond,Total Contractual Obligations - Interests Charges and Other Adjustments
2020.0,17523000000.0,5174000000.0,303000000.0,303000000.0,1903000000.0,657000000.0,189000000.0,1202000000.0,-145000000.0,2235000000.0,2132000000.0,153000000.0,-50000000.0,733000000.0,12349000000.0,8042000000.0,18333000000.0,3106000000.0,174000000.0,2932000000.0,14382000000.0,14382000000.0,845000000.0,-10291000000.0,-10291000000.0,2727000000.0,2727000000.0,1895000000.0,832000000.0,,832000000.0,,,,,,300000000.0,300000000.0,1280000000.0,16654000000.0,6443000000.0,5824000000.0,4114000000.0,3336000000.0,359000000.0,87000000.0,332000000.0,1710000000.0,619000000.0,619000000.0,223000000.0,396000000.0,263000000.0,133000000.0,,,10211000000.0,7878000000.0,7878000000.0,7878000000.0,864000000.0,864000000.0,723000000.0,723000000.0,718000000.0,28000000.0,869000000.0,626000000.0,-3769000000.0,1130000000.0,473000000.0,0.0,657000000.0,-4899000000.0,-4899000000.0,7567000000.0,-3172000000.0,-3172000000.0,243000000.0,8156000000.0,265000000.0,314000000.0,475000000.0,618000000.0,557000000.0,5927000000.0,,556000000.0,148000000.0,126000000.0,100000000.0,76000000.0,63000000.0,90000000.0,-47000000.0,9620000000.0,4193000000.0,1360000000.0,875000000.0,341000000.0,332000000.0,2519000000.0,556000000.0,148000000.0,126000000.0,100000000.0,76000000.0,63000000.0,90000000.0,-47000000.0,18332000000.0,4606000000.0,1800000000.0,1450000000.0,1035000000.0,952000000.0,8536000000.0,-47000000.0
2021.0,17837000000.0,5565000000.0,270000000.0,270000000.0,2239000000.0,773000000.0,242000000.0,1442000000.0,-218000000.0,2207000000.0,2092000000.0,170000000.0,-55000000.0,849000000.0,12272000000.0,8097000000.0,18528000000.0,3162000000.0,169000000.0,2993000000.0,14606000000.0,14606000000.0,760000000.0,-10431000000.0,-10431000000.0,2650000000.0,2749000000.0,1840000000.0,909000000.0,806000000.0,103000000.0,-99000000.0,-99000000.0,-99000000.0,-82000000.0,-17000000.0,290000000.0,290000000.0,1235000000.0,17100000000.0,6749000000.0,6186000000.0,4628000000.0,3840000000.0,380000000.0,85000000.0,323000000.0,1558000000.0,563000000.0,563000000.0,118000000.0,445000000.0,315000000.0,130000000.0,,,10351000000.0,8141000000.0,8141000000.0,8141000000.0,809000000.0,809000000.0,694000000.0,694000000.0,681000000.0,26000000.0,737000000.0,514000000.0,-4105000000.0,1078000000.0,473000000.0,0.0,605000000.0,-5183000000.0,-5183000000.0,7858000000.0,-3239000000.0,-3239000000.0,223000000.0,8587000000.0,435000000.0,473000000.0,574000000.0,558000000.0,407000000.0,6140000000.0,,523000000.0,142000000.0,119000000.0,93000000.0,76000000.0,64000000.0,64000000.0,-35000000.0,8682000000.0,3962000000.0,1540000000.0,373000000.0,341000000.0,259000000.0,2207000000.0,523000000.0,142000000.0,119000000.0,93000000.0,76000000.0,64000000.0,64000000.0,-35000000.0,17792000000.0,4539000000.0,2132000000.0,1040000000.0,975000000.0,730000000.0,8411000000.0,-35000000.0
2022.0,17970000000.0,5729000000.0,427000000.0,427000000.0,2269000000.0,874000000.0,246000000.0,1388000000.0,-239000000.0,2280000000.0,2155000000.0,189000000.0,-64000000.0,753000000.0,12241000000.0,7885000000.0,18549000000.0,3218000000.0,156000000.0,3062000000.0,14655000000.0,14655000000.0,676000000.0,-10664000000.0,-10664000000.0,2925000000.0,3035000000.0,2074000000.0,961000000.0,863000000.0,98000000.0,-110000000.0,-110000000.0,-110000000.0,-91000000.0,-19000000.0,238000000.0,238000000.0,1193000000.0,17270000000.0,7334000000.0,5762000000.0,4601000000.0,3813000000.0,388000000.0,82000000.0,318000000.0,1161000000.0,1171000000.0,971000000.0,373000000.0,598000000.0,471000000.0,127000000.0,200000000.0,401000000.0,9936000000.0,7578000000.0,7578000000.0,7578000000.0,654000000.0,654000000.0,647000000.0,647000000.0,799000000.0,258000000.0,700000000.0,547000000.0,-3985000000.0,1152000000.0,473000000.0,0.0,679000000.0,-5137000000.0,-5137000000.0,8201000000.0,-3669000000.0,-3669000000.0,153000000.0,8422000000.0,845000000.0,524000000.0,550000000.0,396000000.0,595000000.0,5523000000.0,-11000000.0,504000000.0,138000000.0,119000000.0,100000000.0,83000000.0,53000000.0,46000000.0,-35000000.0,9632000000.0,3839000000.0,1662000000.0,1097000000.0,539000000.0,501000000.0,1994000000.0,504000000.0,138000000.0,119000000.0,100000000.0,83000000.0,53000000.0,46000000.0,-35000000.0,18558000000.0,4822000000.0,2305000000.0,1747000000.0,1018000000.0,1149000000.0,7563000000.0,-46000000.0
2023.0,17344000000.0,5703000000.0,1093000000.0,1093000000.0,1955000000.0,724000000.0,211000000.0,1212000000.0,-192000000.0,2135000000.0,2063000000.0,150000000.0,-78000000.0,520000000.0,11641000000.0,7913000000.0,19151000000.0,3216000000.0,149000000.0,3067000000.0,15132000000.0,15132000000.0,803000000.0,-11238000000.0,-11238000000.0,2282000000.0,2377000000.0,2085000000.0,292000000.0,216000000.0,76000000.0,-95000000.0,-95000000.0,-95000000.0,-83000000.0,-12000000.0,306000000.0,306000000.0,1140000000.0,16276000000.0,6930000000.0,5739000000.0,4429000000.0,3653000000.0,394000000.0,88000000.0,294000000.0,1310000000.0,836000000.0,697000000.0,2000000.0,695000000.0,565000000.0,130000000.0,139000000.0,355000000.0,9346000000.0,7417000000.0,7417000000.0,7417000000.0,669000000.0,669000000.0,374000000.0,374000000.0,860000000.0,26000000.0,1068000000.0,915000000.0,-3871000000.0,1351000000.0,473000000.0,0.0,878000000.0,-5222000000.0,-5222000000.0,8368000000.0,-3582000000.0,-3582000000.0,153000000.0,7984000000.0,568000000.0,559000000.0,403000000.0,601000000.0,698000000.0,5166000000.0,-11000000.0,476000000.0,145000000.0,128000000.0,110000000.0,64000000.0,27000000.0,45000000.0,-43000000.0,7445000000.0,2950000000.0,1436000000.0,493000000.0,479000000.0,239000000.0,1848000000.0,476000000.0,145000000.0,128000000.0,110000000.0,64000000.0,27000000.0,45000000.0,-43000000.0,15905000000.0,3663000000.0,2123000000.0,1006000000.0,1144000000.0,964000000.0,7059000000.0,-54000000.0
2024.0,16546000000.0,5580000000.0,1021000000.0,1021000000.0,1822000000.0,691000000.0,190000000.0,1141000000.0,-200000000.0,2009000000.0,1908000000.0,154000000.0,-53000000.0,728000000.0,10966000000.0,7513000000.0,18932000000.0,3058000000.0,157000000.0,2901000000.0,15020000000.0,15020000000.0,854000000.0,-11419000000.0,-11419000000.0,2051000000.0,2144000000.0,1964000000.0,180000000.0,147000000.0,33000000.0,-93000000.0,-93000000.0,-93000000.0,-81000000.0,-12000000.0,314000000.0,314000000.0,1088000000.0,15571000000.0,7004000000.0,5751000000.0,4504000000.0,3715000000.0,402000000.0,99000000.0,288000000.0,1247000000.0,781000000.0,699000000.0,3000000.0,696000000.0,565000000.0,131000000.0,82000000.0,472000000.0,8567000000.0,6875000000.0,6875000000.0,6875000000.0,643000000.0,643000000.0,326000000.0,326000000.0,686000000.0,37000000.0,975000000.0,840000000.0,-4651000000.0,1335000000.0,473000000.0,0.0,862000000.0,-5986000000.0,-5986000000.0,9257000000.0,-3766000000.0,-3766000000.0,135000000.0,7443000000.0,569000000.0,410000000.0,606000000.0,700000000.0,704000000.0,4465000000.0,-11000000.0,436000000.0,146000000.0,130000000.0,82000000.0,43000000.0,28000000.0,51000000.0,-44000000.0,7340000000.0,3664000000.0,1091000000.0,500000000.0,239000000.0,195000000.0,1651000000.0,436000000.0,146000000.0,130000000.0,82000000.0,43000000.0,28000000.0,51000000.0,-44000000.0,15219000000.0,4379000000.0,1631000000.0,1188000000.0,982000000.0,927000000.0,6167000000.0,-55000000.0
